ID	Text	Labels	words	sents	numbers	unknowns	punctuation	year	Gender
C95.353	"[14:30](https://www.youtube.com/watch?v=MctrCuBVOYM&t=14m30s) swaisida eigi
oiba wafam khra..... Meitei Pangal haidradi chakthung amt fngoi marm asina
Meitei Pangal haigadbani haiba wasidi yam lalgani historyda hngtna yengbada
Meitei Pangal haiba waheisi 19s ki mtmda thoklkpani haibsi khnglbanina
Manipuri muslim or Pangal haibasida oficial oina sijnanaba hotnbada kari
kaibga"	(CAG,NGEN,NCOM)	43	2	0	0	5	0	NGEN
C12.139.1	"General strike twba c na manipuri eikhoidi gi education lo thabak suwo adu
oiradi strike su twning laroi neighbours singda yengsinba matam su leiraroi
peace oirani boy"	(NAG,NGEN,NCOM)	27	1	0	0	0	0	NGEN
C95.131.1	Segi arsad erudbse kmba jungle thoklkpano amukta ujadre	(CAG,NGEN,NCOM)	8	1	0	0	0	0	NGEN
C115.87	manipurge youths mym mikp thokpa mtm oire hybni( loina smjnlaga)	(NAG,NGEN,NCOM)	10	1	0	0	2	0	NGEN
C100.42	Hey kashubi taningdre	(OAG,GEN,NCOM)	3	1	0	0	0	0	GEN
C115.89	"Ei wakhl da akhoi Manipur sokloidba lei taragadi Manipur ga wari sanabagi
drkar oidbr khlle.... Central ga Nagaland gagi wari akhoi ywde.... Sokloidba
leiradi akhoiga kari wari sanagani  
Echm chmb akhoigi kok ta fw c wakhl se lk a akhoi gov. Na km twroi laoraga lei"	(CAG,NGEN,NCOM)	46	4	0	0	3	0	NGEN
C10.24	Nang sidaribo mei thaninge	(OAG,NGEN,NCOM)	4	1	0	0	0	0	NGEN
C95.113.1	"Madudi tokloi, manipursi Islam onhannaba kanna toukhini makhoi, aduga makhoigi
nupisu meiteida pithokoi."	(CAG,NGEN,COM)	13	1	0	0	3	0	NGEN
C115.132.2	"Ngamjathang Mate Dear brother as per my limited knowledge COCOMI didn't impose
General Strike on the 1st Nov. It was cease work. On that day I went to some
places, I found no disturbance in transportation. I share your inconvenience."	(NAG,NGEN,NCOM)	40	4	1	0	5	0	NGEN
C101.895.4	Yam nungaijre mayambge wafmse	(NAG,NGEN,NCOM)	4	1	0	0	0	0	NGEN
C10.29.1	"menai tukachei ne social media da adumba wa sijineido noi Islam da takpibro
lwsan ba heira d pithok pa su khara tamse"	(CAG,NGEN,NCOM)	22	1	0	0	0	0	NGEN
C101.789	Bjp na eikhoibu ym wahalle maduna vote ti pijararoi sw yade	(CAG,NGEN,NCOM)	11	1	0	0	0	0	NGEN
C95.177	"Akaiba keisu yaode kaka sm jalal mana ngangese asoiba amata yaode historical
facta ngangbni"	(NAG,NGEN,NCOM)	14	1	0	0	0	0	NGEN
C106.26	"Shkthu ngse pura kasuba hyge natu fwba sennaba ngmdaba ngn eikhoi sennani hyna
thokedo namai maithudo ekaidro"	(OAG,GEN,NCOM)	17	1	0	0	0	0	GEN
C101.318	"State ki CM amna haibdu pirage sinnine. CM Khudingmkki apamba pini hairadi
eikhoigi CM di tumlibra mabuk fba modi leiringei da apambmkhei haihouro"	(CAG,NGEN,NCOM)	23	2	0	0	1	0	NGEN
C108.117	Non manipuri natrabidi, meitei nupa aphaba yamna leibane.	(OAG,GEN,COM)	8	1	0	0	2	0	GEN
C101.132	Yaragadi laws of Asylum gisu amta neinabiyo	(OAG,NGEN,NCOM)	7	1	0	0	0	0	NGEN
C95.398.1	@Hussain Komol loinada yetle	(NAG,NGEN,NCOM)	3	1	0	0	0	0	NGEN
C101.725	BJP se World da khwaidagi sathiba mahik makhal Amani.	(CAG,NGEN,NCOM)	9	1	0	0	1	0	NGEN
C95.19	Meitei ga Meitei pangal gadi piba mcha ningol mcha ni eh mri echin enwni	(NAG,NGEN,NCOM)	14	1	0	0	0	0	NGEN
C101.744	neire2	(NAG,NGEN,NCOM)	1	1	1	0	0	0	NGEN
C101.116	"Ym pktre BJP se wa theiraga ngangbda warmlani hndkki vote se BJP kadba
oirasanu..."	(CAG,NGEN,NCOM)	14	1	0	0	1	0	NGEN
C101.514	Da raj na neiraaa	(NAG,NGEN,NCOM)	4	1	0	0	0	0	NGEN
C10.165	"nungai yaifana palloko echal,religion haibase mina sembani miobana malemda
ahanba leiba hourakpada religion haibama leiramde,yamna hnthaba misingna
masagi religionkhtabu athoibani haina khnbani,achumba touba minungc leibana
athoiba dharmani,manipurda ahanba muslim lakpada ningthouna makhoida meitei
nupi piduna chada naoda sandokhnkhi,matmduda karigumba ningthouna nakhoidi
eikhoiga dharma mannade nakhoi hnkhro hairamba tarabadi manipurda muslim masak
urammoi.....laikhkta khuramba migi fattanaba touba, miwa ngangba,minungc
leitaba midi keidoungeidasu sarga fangoi,dharma haibac laikhkta ningbadu
natte......."	(NAG,NGEN,NCOM)	75	1	0	0	10	0	NGEN
C95.464.1	Chahi kharadang ngaikhisi...	(NAG,NGEN,NCOM)	3	1	0	0	1	0	NGEN
C95.142	I'm proud to be a bangladeshi muslim. C oiradi frmlani	(CAG,NGEN,COM)	10	2	0	0	1	0	NGEN
C12.13	"Bir gi videodo amukta yengbiyu yaragad aduga gyn tarkpa ngmbra yengo india dei
hendb ngna chaokhtpagi athrafhao fhajanna khngdab ngna"	(CAG,NGEN,NCOM)	20	1	0	0	0	0	NGEN
C95.412	"Tokhai tanaba ym pamlabra khangde eikhoina puna leiminaba haibasigi wakhalonda
adum khala leire"	(CAG,NGEN,NCOM)	13	1	0	0	0	0	NGEN
C95.126	"Masida khannadoi saruk , legal oigera illegal oigera immigrant Muslim da oina
khannou makhoine lurise masibu nakhei sengngadi pangal singgi development work
ta chaona ahongba lakkani thajei"	(NAG,NGEN,NCOM)	26	1	0	0	1	0	NGEN
C95.454	eikhoidi koktum ngaowi manipurse irangi irang ngakta ngaire	(CAG,NGEN,NCOM)	8	1	0	0	0	0	NGEN
C115.33	Sirashu c ni manipur ngamkhei kai yaroi ehou lepkumse	(OAG,NGEN,NCOM)	9	1	0	0	0	0	NGEN
C115.176	"Separate flag and constitution are totally unaccepted and baseless Demands
🇮🇳🇮🇳"	(OAG,NGEN,NCOM)	10	1	0	4	0	0	NGEN
C95.371.2	Henry pkliba ngi mingdo hanna smdok fake foreign 🤣🤣	(CAG,NGEN,NCOM)	8	1	0	2	0	0	NGEN
C10.130	"Masi communal gi wa natte,Esagi dhrma gi oiba wa ngangjabni,masida wakhl pikpa
chaokhtpa chaokhttaba haiganu,chaokhttribasi msagi dhrma msk khngdba
miduni,,Islam ga atoppaga khetnaba khr lei adunani ngangibasi."	(CAG,NGEN,COM)	31	1	0	0	5	0	NGEN
C101.403	Kang yet ani pullaga oina laklabra bjp se moi ani na semkhiba douna	(CAG,NGEN,NCOM)	13	1	0	0	0	0	NGEN
C101.281	eid bjp da sungp piroi maga alliance tasu sungpi piroi	(CAG,NGEN,NCOM)	10	1	0	0	0	0	NGEN
C10.50	"you thoughtless people will somehow ruin the meitei bloodline. Meiteis are so
few in number ,barely 100K , and even few intermarriages with the pangal/mayan
bring drastic changes to meitei geneology.Eventually meiteis will be low IQ
like mayang ,hairy,stinky ,huge froggy eyed, black and our predecessors will
be terrible breed with less pure meitei trait."	(OAG,NGEN,NCOM)	56	3	0	0	10	0	NGEN
C105.17	Good decision...May God bless You.	(NAG,NGEN,NCOM)	6	2	0	0	2	0	NGEN
C10.2.3	Karisukai eina hairise gheyan tador	(NAG,NGEN,NCOM)	5	1	0	0	0	0	NGEN
C101.565	Comments mayamc yangbada BJP nungsiba amta ywdreee 🤣🤣🤣🤣🤣🤣🤣🤣	(NAG,NGEN,NCOM)	7	1	0	8	0	0	NGEN
C101.747	Raj na neire ngasidi yamthina nungai taba	(NAG,NGEN,NCOM)	7	1	0	0	0	0	NGEN
C95.73	"Myamc cgumba nataba heram khudingmkta sothaduna leirba manipuri muslim singc
kamdouna develop tougni haibromda kok khra thatbirdi fagadouba adugi onnabda
pangal/meetei pangal oja Arshad yareko taningdre pangang ngangnroic"	(CAG,NGEN,NCOM)	29	1	0	0	1	0	NGEN
C95.82	Meetei na hindu onkhibasi karam kandano Mr . Jalal	(CAG,NGEN,NCOM)	8	1	0	0	0	0	NGEN
C12.148	"lmdmc culturena yomduna hinglibni imitate toubc merit amasung demerit lei hoi
chumi somna ngangbda achumb kharasu yaodb nate but utlou g thoudokc yam
uncivilize oib potni choaktp2 haic different angleg different view leini but
the action must guide thefuture generatio we should act wat we like in social
manner if we do something against the social practice our society will punish
us utloug incidentc strongly protest toue westerna develope touric bard clubt
dance toubdge nateye reason mayam lei imitationc aphab mayongd khara touba fei"	(CAG,NGEN,NCOM)	84	1	1	0	0	0	NGEN
C101.674	Manipur gi bjp politicians sing c loina modi gi thi chare.	(CAG,NGEN,NCOM)	11	1	0	0	1	0	NGEN
C95.135	"Mamangda leirasu khangle govt. Na laothoklaga ngangbani. Mamangda leiramlabsu
chatnaba yaroi"	(CAG,NGEN,NCOM)	11	3	0	0	2	0	NGEN
C101.401	"Yajare hwjik vote ki manifesto da mayk sangna ywrak akansida, lamsotpi paokhum
wate haibado twrak ano, lalonbigi wask to twrak ano eikhoi esana khangna vote
pijarage"	(CAG,NGEN,NCOM)	26	1	0	0	2	0	NGEN
C101.100	congress is win	(OAG,NGEN,NCOM)	3	1	0	0	0	0	NGEN
C12.77	yam chumme I wish I could like thousands of times	(NAG,NGEN,NCOM)	10	1	0	0	0	0	NGEN
C115.29	Bjp da vote pikhisi. Watle erang	(CAG,NGEN,NCOM)	6	2	0	0	1	0	NGEN
C95.422	"Eikhoi masen marakta asuk ym yengsinnarise keigino???  
Chaokhatpa wakhal khanba ngammaroiye sidi...higa hidega twwega twdega...eigi
magi sum twradi leiriba mafamdudei henba ngammaroiye..."	(CAG,NGEN,NCOM)	24	2	0	0	4	0	NGEN
C101.548	Pranam choukidars. You've accepted the challenge. Now wait and watch	(CAG,NGEN,NCOM)	10	3	0	0	2	0	NGEN
C115.186	KEINO AKANBA KHONGJANG AMTA TOUDRISIBO	(CAG,NGEN,NCOM)	5	1	0	0	0	0	NGEN
C101.808	Big salute to sir Raj nongthombm	(NAG,NGEN,NCOM)	6	1	0	0	0	0	NGEN
C101.960.2	"@Khundongbam ZEKIT MEITEI hahaha law of isolam, noi bjp huranba singse huranba
chtlingeida gunda saringeida, lairik laisu tmhoudrabo.. Lairik heitaba mi
khudingmk bjp gi supporter ntte, adubu bjp da support touba mi khudingmk
lairik heite, khudam oina Mr Atiya Meitei😂"	(CAG,NGEN,NCOM)	39	3	0	1	6	0	NGEN
C101.499	Handaki bjp c maraibak thida	(NAG,NGEN,NCOM)	5	1	0	0	0	0	NGEN
C10.185	"meeyam khudingna leibakna saba yum khkta leiringei mtmda khnnrmi nungga
leingoiga punba yaroi haina,mtmdugi asingba meeoini haijbsingna,adubu mtmna
meeoibda gyan ahenba haplkpdgi chek ki yum haibdi building ddi nung leingoi
pundba yarktre.msina takpdi kana kana kari kari pullga chetpa structure
(saong-sada) oigni khnbgi mthou yamna tare,aduna religion (dharma)da meeoi
masing sigei leigdbni haib leitbnina waroub saob khuding kayabusu
fathabiyu,nungsibromgi lambiduda chtminnsi.i love everyone chahe hindu ho ya
muslman ho.jai Manipur and bharat."	(NAG,NGEN,NCOM)	77	1	0	0	9	0	NGEN
C95.434.2	"@Shantikumar Ningthouja  
Appreciate you idea.!  
Islam dhrma n eikhoina khundariba prithivi gi mfm amadi miyoi khudingmk God
sembibni marm aduna poknafm ereipak amadi leiminnariba khudingmk nungshi
channa leiminnba paotak kya pibiri.  
Thanks bro"	(NAG,NGEN,NCOM)	32	4	0	0	3	0	NGEN
C10.181	"long live  
u r perfect.."	(NAG,NGEN,NCOM)	5	2	0	0	2	0	NGEN
C95.236	"Yare taningdre ambu oire 2 noi 2gi namadi meitei nupi natro namadubu nungcbga
amta faodrabo saktasa asuk luba Tanja cda kanana ensinlaga khatnrino ......
Eikhoidi keisu khande echin enaoni loina khanli"	(CAG,NGEN,NCOM)	29	2	2	0	1	0	NGEN
C108.91	Meitei nupa leitrbo	(CAG,GEN,COM)	3	1	0	0	0	0	GEN
C101.338	"""Rohingya hek boarder lanjllkpada sarkarna chak pija tare"",👈c tabada congress
2 c na nokpado uhwdro🤣🤣🤣"	(NAG,NGEN,NCOM)	15	1	1	4	3	0	NGEN
C108.124	Keinomnina mi nungsinabei oirmni keino	(NAG,NGEN,NCOM)	5	1	0	0	0	0	NGEN
C95.175	Meitei-Pangal na yaifare	(NAG,NGEN,NCOM)	3	1	0	0	0	0	NGEN
C106.32	Ngaore2	(CAG,NGEN,NCOM)	1	1	1	0	0	0	NGEN
C101.920.5	Hantakti pabung Dr Nara da pirac	(NAG,NGEN,NCOM)	6	1	0	0	0	0	NGEN
C95.380	Chumbu chumdro pangaldi panglna lepchagni haibsi ojalalgil motsi	(NAG,NGEN,NCOM)	8	1	0	0	0	0	NGEN
C95.152	meitei or meetei sida problem yam leibaduda pangal dng hairase haibani moigise	(NAG,NGEN,NCOM)	12	1	0	0	0	0	NGEN
C12.154.2	Yam chume	(NAG,NGEN,NCOM)	2	1	0	0	0	0	NGEN
C115.120	Pendeda.	(NAG,NGEN,NCOM)	1	1	0	0	1	0	NGEN
C95.113	Meitei louthokningladi Meitei nupi lumba koiba louba tokloko	(CAG,NGEN,NCOM)	8	1	0	0	0	0	NGEN
C95.98	"Yare keidwrge meitei pangal, pangal chp manei keidwrge certificate d ywriba
meitei pangal haiba cd meitei haibse kotla lngro haibro kei bttano khngdewani
.......meitei pangal wa Loire hwbdg tw yadro kokti ebo meitei pangal wa Loire
💔😂"	(NAG,NGEN,NCOM)	36	1	0	2	2	0	NGEN
C101.844	"[1:05:23](https://www.youtube.com/watch?v=dH6PJqMGx8A&t=1h05m23s) best
question by Raj......"	(NAG,NGEN,NCOM)	4	1	0	0	5	0	NGEN
C95.330	"Meitei pangal hairgdi yumnaknsu takchrbni. Manipurda thonkhiba yumnak nttba
muslimdo pangal kouba yaroi. ..gyan tabiu"	(CAG,NGEN,NCOM)	15	5	0	0	4	0	NGEN
C101.317	Tarun gogoina chithi ebado Manmohanna parliament ta puthokkhibra.	(CAG,NGEN,NCOM)	8	1	0	0	1	0	NGEN
C10.178	"Social mediada chaokhatana ngangbasu tokpiyu..chaokhataba pukchel pikpa nakhoi
kharagi waheina santi oina hingminariba pangal meitei kayagi shantibu
thugaiganu.noigi khonjel wangangsingdo taraga tukachaba faoye"	(NAG,NGEN,NCOM)	24	3	0	0	2	0	NGEN
C115.163	"Eikhoi khanaduna leishi hanjan hanjan hangba khumba tabda yamna ware eikhoigi
firep achetpa ama leplashi khangbda yamna ware"	(CAG,NGEN,NCOM)	18	1	0	0	0	0	NGEN
C108.47	Amazing videography and great leads😁😁congratulations	(NAG,NGEN,NCOM)	6	1	0	2	0	0	NGEN
C101.153	b j p se hatlase mayam	(CAG,NGEN,NCOM)	6	1	0	0	0	0	NGEN
C115.26	So thanks CCOMI reparative yours opinion	(NAG,NGEN,NCOM)	6	1	0	0	0	0	NGEN
C12.93.1	"@Selena Lover mama mpa leirise keigino aduna takpi tmbirktba oirgna fare keino
mymna mdu yadena warkedo😀"	(CAG,NGEN,NCOM)	15	1	0	1	0	0	NGEN
C105.32	"Oidba drama chatou saruk mangdou saruk achumba isor da chngjarini noi
kallakpra noi hindu d kydagi gyan tanige"	(OAG,NGEN,COM)	18	1	0	0	0	0	NGEN
C95.237.1	Waridi	(NAG,NGEN,NCOM)	1	1	0	0	0	0	NGEN
C12.80	"Pune da chahi 11 leiriba adomna manipurgi damakta toukhiba aphaba thabak
amatang haibiramu"	(CAG,NGEN,NCOM)	12	1	1	0	0	0	NGEN
C100.5	Potti kappihe hairise fajei haibani adum khanllo nggi kokto khara sijannw ooo	(CAG,NGEN,NCOM)	12	1	0	0	0	0	NGEN
C101.923.4	"BJP ga Congresskadi congressna fre mrmdi corruptiondi animk twbnina. Adubu
votekidi apambda pibiu anisi nttbda"	(NAG,NGEN,NCOM)	15	2	0	0	1	0	NGEN
C101.874.1	"Cab manipur da chatnabda kanagdabasing adu bjp na takpiro? Bjp gidamak thawai
thabige. Wathi warem ngangbiranu Matm mangi."	(CAG,NGEN,NCOM)	18	3	0	0	3	0	NGEN
C101.681	Devbrata yaoragata henna clear oina haiba ngammi	(NAG,NGEN,NCOM)	7	1	0	0	0	0	NGEN
C101.923.1	"@kh faruk eisu adune NEIDP da pihnninge adu ahal laman singse Gyan tanadriye
hjikfao kwa matap amada vote leinare"	(NAG,NGEN,NCOM)	18	1	0	0	0	0	NGEN
C95.364	Jalal gido kupna neinaba mathou tari haibni 👍	(NAG,NGEN,NCOM)	7	1	0	1	0	0	NGEN
C100.46	"Masini manipur ibemma eigi apambadi jagatta hourakpada khwangda phi or una
wana haibadi phanekki maongsi jagatta loina setli.adubu eikhoikhaktagi
phanekki wakhalda khanduna khatnaribani.tasengbadi eikhoina khwaidagi thengna
chaokhatpa tambada ojha saba yambadagi oikhibani.ngarisu madu mangai apumba
potni .prithibida sa nga liraga chabagi heinabi chahi lising kayagi mamangdagi
leiramlabani.sum chaokhatlakpadagi apat arak chaba toknakhibani.singjusu chap
mannei morok sabada hakchang nungaitabadagi morok hantharaga salad
onkhibani.ojha yammalle heiba heitaba .khangjadaba ojha mayamduna lila dramada
yaoba dialogue.paramparagi matamga channadaba kayasi srmdokpa matam
oire.nupimachasingna cycle thouduna school.tution chatpada phanekki mahutta
salwar setpanadi cycle gi accident hanthagani khanjei."	(CAG,GEN,NCOM)	91	3	0	0	3	0	GEN
C130.46	"Th Biswajit singh’s wife is Junriewon right ?  
What’s going on here, can anybody explain pleas ?"	(NAG,NGEN,NCOM)	15	2	0	0	3	0	NGEN
C115.207	Raj like amatang	(NAG,NGEN,NCOM)	3	1	0	0	0	0	NGEN
C10.33	Ngbu kynarena tyda kmy twrino asengbara achumbara khngdrene	(NAG,NGEN,NCOM)	8	1	0	0	0	0	NGEN
C12.151	Ojaah......	(NAG,NGEN,NCOM)	1	1	0	0	1	0	NGEN
C10.133.4	"Um nungai yaiphana pnba oirasanu.Ei bamon ni meitei nupi amaga chahi animuk
khngnare aduga mama hoine yde haibadagi eise asoiba thiraga eige ephmdagi
lapkhre ei ymna wakhi ymnash kpkhi mahaka kainabada ngacsu eige mitki pee
kangdri"	(CAG,NGEN,NCOM)	37	2	0	0	1	0	NGEN
C101.365	bjb kangbuce uti asangba Chara ama chrga cikharo	(OAG,NGEN,NCOM)	8	1	0	0	0	0	NGEN
C101.841	Ore khire tiken bijoy muslim bu ym usittbge wa khungang ngange	(OAG,NGEN,NCOM)	11	1	0	0	0	0	NGEN
C12.68	"Eina haibige sakthu haiba fijet figai setpacbu chaokhatpane hairadi taina fi
setriba matamdudi yam chaokhatlene africa leibakt leiba una setpa penty setpdo
moina henlene chaokhatpa sakthu chaokhatpa2 haije esagi fijet esagi culture
ngakna chatpadune chaokhatpa haije meiteina penty setpadi chatnde ahan lamhan
myam mangd kiss taubadi meiteigi natta wari lairikta yaode meiteigi oiba
chatnabi fajana khanglaga mapal lamda leiyu yadro mina meiteigi oiba
hanglakpda fajaramlani ngna khumlmduido ebungngo"	(OAG,GEN,NCOM)	68	1	1	0	0	0	GEN
C100.35	"Eidi ym ngcye echangi carecter ei ym pame.eigi oiramadi yamna nungaini.really
i love u."	(CAG,NGEN,NCOM)	14	1	0	0	1	0	NGEN
C101.224	Aeigi baba emana hek BJP da vote lep pasu sukpi piroi hae	(OAG,NGEN,NCOM)	12	1	0	0	0	0	NGEN
C108.81.2	Meegani honglise keino nangsu panningba amada hek pankho	(CAG,NGEN,NCOM)	8	1	0	0	0	0	NGEN
C95.399.2	"Particular community ge wapham natchade..Eripak-Eramdamna ashuk luraba Tanja
ashida Apunbage Shaktam puraknaba hotnabna phie khanjie..Eikhoi d
Meitie/Meetie oiningba oishanu,eshage identity ngakna chatlaga loire.."	(CAG,NGEN,NCOM)	27	6	0	0	8	0	NGEN
C95.458.2	"Pangal di pangal adum oigani meitei pangal haibade yaba ngamloi thabak khak ki
khnganu thabak ti Allah na pegani"	(CAG,NGEN,NCOM)	19	1	0	0	0	0	NGEN
C108.138	Meitei ga mayang nupagro luhonglise	(CAG,NGEN,COM)	5	1	0	0	0	0	NGEN
C106.15	Yam lemmiko bishorjit se 🤣🤣🤣🤣	(NAG,NGEN,NCOM)	4	1	0	4	0	0	NGEN
C101.875	Go back bjp	(OAG,NGEN,NCOM)	3	1	0	0	0	0	NGEN
C101.540	I hate bjp .	(CAG,NGEN,NCOM)	3	1	0	0	1	0	NGEN
C95.338	Pangal oigira ama oigera... eikhoi Manipur ema amatagi macha ni	(CAG,NGEN,NCOM)	10	1	0	0	1	0	NGEN
C101.458	Really enjoyed watching thai discussion specially the ending part..	(NAG,NGEN,NCOM)	9	2	0	0	2	0	NGEN
C101.325	BJP kngbuse kdaidnom purga pullp mei thadokpikrooo 🙏🙏🙏🙏🙏	(CAG,NGEN,NCOM)	7	1	0	5	0	0	NGEN
C12.133.3	"Abem Dovei. Out of context wari di tounaraoisi da kanadaba da. Political
agenda pusilak kano. Asigi nupa sina hairise yamna lanba yaori ko."	(NAG,NGEN,NCOM)	23	4	0	0	4	0	NGEN
C10.158.2	pak oi noidi	(CAG,NGEN,NCOM)	3	1	0	0	0	0	NGEN
C101.349	Ngacdi oja tiken gi twin pocket sinlam a😂😂😂 thambal yek am a pakchabna	(NAG,NGEN,NCOM)	13	1	0	3	0	0	NGEN
C95.310	"Pangal is just for recognition who stayed in manipir. But there identity of
religion is all believe in Allah . But Allah is greak word in English it means
God."	(NAG,NGEN,NCOM)	29	3	0	0	3	0	NGEN
C12.102.3	"Chin thidrasu adum chumna ngangba yaram nida boy ... Eina Chanel ge sida sum
yenglak pada ngse oiramme thou leitaba baan ga toina twhanlise education
yaodaba mi khak na bad words sijin nabani nathanda ekaiba poktabara ba madu gi
waheido pallaga ngse chaothok chariraba 2nd thought leiyo boy ekaiba su khra
khangba fei"	(CAG,NGEN,NCOM)	52	2	1	0	1	0	NGEN
C100.38	Yam chumi cha	(NAG,NGEN,NCOM)	3	1	0	0	0	0	NGEN
C115.109	Social media da erang sagatpa taradra eikhoi mayam na ngangnarise	(NAG,NGEN,NCOM)	10	1	0	0	0	0	NGEN
C101.34	Sak yam kaaktro bjp menai mayam jhey	(OAG,NGEN,NCOM)	7	1	0	0	0	0	NGEN
C95.41	Khangdarae da nong dam ba	(NAG,NGEN,NCOM)	5	1	0	0	0	0	NGEN
C130.1	"Nupa hai c di nupa ne ng na reserve leira di nupa na kei su hnjin lk o , nupi
leira ba nupa da ng wakhl ym thenli ei hai ge nupa ywdra d leiba ngm da bro
nupi se amuk soikhra di yare..... Nupi c bu nupa ywdra d nupa da yum pn dra d
nacha yok a gaa faja na leiba yai adu di ntte peisa khra ura di amuk toi ba
minister ntta ba laira ba macha amana hairk pa da di ng kei su yaroi nttro
humm...... Peisa da choppe haiba da haimn ba thok loi 😏😏😎"	(OAG,GEN,NCOM)	99	3	0	3	3	0	GEN
C95.347.1	"Sum Warini he moi2gii apamba loi oigedii kanaNa Nungydoino Leibakki erangna
kalla kansida"	(CAG,NGEN,NCOM)	14	1	1	0	0	0	NGEN
C130.47	"Bishwajit angang ahum leiraba  
nupabu keidaobagi nupisingse matungillino khangde"	(OAG,GEN,NCOM)	9	1	0	0	0	0	GEN
C101.412	Congress ta support twni	(NAG,NGEN,NCOM)	4	1	0	0	0	0	NGEN
C130.102	"First wifetugi wathok mayamdagi saoningdana atombi amamuk loure aduga nupi
ahaldu amuk hanjillakle nupi atombisina amuk hanna yengbidre nupi nupa yum
pannaribasibo karigino fijet fajaba setlaga ahaoba khra pangcha charaga leiba
yabro nupi ahalduna mayum palluriduna karigii aduk nungyna awatpa amatta
leitana leiraga hujikna atonbida loina tahwre nupana hanna yengbdradi sigumba
thoudokse mayam thoklakhini nupina phttaba touragana octabine hekta hyba
nupana touragana chammagi mapune hyba nupa eikhoidi chammagi mapunena
khllabadi nupi makhoidi lisinggi mapu adum oikhiba tabane nupi Amana lamchat
nyraktrabadi octabine hybirii adubu nupi aduna octtaba chtllaklibase kari
maramgino nongmata khngnaba hotnarude khngsu khngninglude octabi kayagi
manungda oiningda oikhiba kya amasune"	(OAG,NGEN,NCOM)	102	1	0	0	0	0	NGEN
C95.58	"Brandon, what I meant was, in this GLOBE, ""PANGAL"" is from Manipur (Meitei
Poirei Lam) only . No need to ADD or DELETE Meitei. The ""PANGAL"" is enough.
Should I call U MAYANG Pangal or BENGALI PANGAL. PANGAL is only from MANIPUR,
not from PAKISTAN."	(CAG,NGEN,COM)	44	5	0	0	15	0	NGEN
